"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32916 FOXP3)","Data Group (Slide 32916 FOXP3)","Annotation Id (Slide 32916 FOXP3)","Annotation Name (Slide 32916 FOXP3)","  Nwp = Number of Weak Positive (Slide 32916 FOXP3)","  Np  = Number of Positive (Slide 32916 FOXP3)","  Nsp = Number of Strong Positive (Slide 32916 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32916 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32916 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32916 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32916 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32916 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32916 FOXP3)","  Nn = Number of Negative (Slide 32916 FOXP3)","  In = Total Intensity of Negative (Slide 32916 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32916 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32916 FOXP3)","  Positivity = NPositive/NTotal (Slide 32916 FOXP3)",
"14746","1","1","1","147","Default","82893","Default","110630","AM nuclear 0.12 output","15768.","80603.","57075.","3008502.","11122839.","3503664.","114.926","0.371955","146.635","4145612.","630589919.","4299058.","1.0713280049971199","3.56929e-002",
"14747","1","2","1","147","Default","82894","Default","110631","AM nuclear 0.12 output","16579.","88644.","38332.","3166815.","12182375.","2778602.","126.278","0.26702","145.873","4299594.","659667998.","4443149.","1.1072355744153599","3.23093e-002",
"14748","1","3","1","147","Default","82895","Default","110632","AM nuclear 0.12 output","6799.","7599.","707.","1331406.","1115620.","58431.","165.869","4.68057e-002","169.956","2356163.","418109978.","2371268.","0.59092150321151993","6.37001e-003",
"14749","1","4","1","147","Default","82896","Default","110633","AM nuclear 0.12 output","5346.","5599.","392.","1047910.","826975.","34125.","168.388","3.4577e-002","171.301","2483507.","443734725.","2494844.","0.62171672150015989","4.54417e-003",
"14750","1","5","1","147","Default","82897","Default","110634","AM nuclear 0.12 output","0.","4.","1.","0.","536.","99.","127.","0.2","134.","642.","121340.","647.","1.6123281407999998e-004","7.72798e-003",
"14751","1","6","1","147","Default","82898","Default","110635","AM nuclear 0.12 output","2.","4.","1.","414.","598.","63.","153.571","0.142857","168.667","525.","105308.","532.","1.3257474047999998e-004","1.31579e-002",
"14752","1","7","1","147","Default","82899","Default","110636","AM nuclear 0.12 output","1.","3.","10.","177.","420.","496.","78.0714","0.714286","149.25","105672.","22193458.","105686.","2.6337018839039997e-002","1.32468e-004",
"14753","1","8","1","147","Default","82900","Default","110637","AM nuclear 0.12 output","0.","3.","0.","0.","441.","0.","147.","0.","147.","1041.","195370.","1044.","2.6016546816e-004","2.87356e-003",
"14754","1","9","1","147","Default","82901","Default","110638","AM nuclear 0.12 output","4.","5.","2.","763.","727.","191.","152.818","0.181818","165.556","320.","64979.","331.","8.248541183999999e-005","3.32326e-002",
"14755","1","10","1","147","Default","82902","Default","110639","AM nuclear 0.12 output","1.","8.","2.","197.","1120.","172.","135.364","0.181818","146.333","486.","90115.","497.","1.2385271807999998e-004","2.21328e-002",
"14756","1","11","1","147","Default","82903","Default","110640","AM nuclear 0.12 output","0.","1.","1.","0.","104.","74.","89.","0.5","104.","381.","76629.","383.","9.5443845119999983e-005","5.22193e-003",
"14757","1","12","1","147","Default","82904","Default","110641","AM nuclear 0.12 output","6.","4.","9.","1124.","599.","587.","121.579","0.473684","172.3","5945.","1258702.","5964.","1.4862326169599999e-003","3.18578e-003",
