"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32917 FOXP3)","Data Group (Slide 32917 FOXP3)","Annotation Id (Slide 32917 FOXP3)","Annotation Name (Slide 32917 FOXP3)","  Nwp = Number of Weak Positive (Slide 32917 FOXP3)","  Np  = Number of Positive (Slide 32917 FOXP3)","  Nsp = Number of Strong Positive (Slide 32917 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32917 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32917 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32917 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32917 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32917 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32917 FOXP3)","  Nn = Number of Negative (Slide 32917 FOXP3)","  In = Total Intensity of Negative (Slide 32917 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32917 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32917 FOXP3)","  Positivity = NPositive/NTotal (Slide 32917 FOXP3)",
"14842","1","1","1","148","Default","76317","Default","110738","AM nuclear 0.12 output","5826.","24073.","25142.","1118501.","3258383.","1753095.","111.371","0.456787","146.389","5022825.","724877332.","5077866.","1.26540745703424","1.08394e-002",
"14843","1","2","1","148","Default","76318","Default","110739","AM nuclear 0.12 output","7571.","37136.","25832.","1447024.","5076698.","1849561.","118.704","0.366209","145.922","4496246.","654959825.","4566785.","1.1380457447423999","1.54461e-002",
"14844","1","3","1","148","Default","76319","Default","110740","AM nuclear 0.12 output","11980.","177355.","34640.","2286886.","23201162.","3022745.","127.295","0.15466","134.619","3369915.","565939823.","3593890.","0.89559968808959989","6.23211e-002",
"14845","1","4","1","148","Default","76320","Default","110741","AM nuclear 0.12 output","12167.","201148.","27909.","2321203.","26445572.","2478054.","129.526","0.115697","134.856","3391429.","567260083.","3632653.","0.90525945249791995","6.64044e-002",
"14846","1","5","1","148","Default","76321","Default","110742","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","534.","105553.","534.","1.3307314176e-004","0.",
"14847","1","6","1","148","Default","76322","Default","110743","AM nuclear 0.12 output","2.","0.","0.","407.","0.","0.","203.5","0.","203.5","893.","182883.","895.","2.2303457279999997e-004","2.23464e-003",
"14848","1","7","1","148","Default","76323","Default","110744","AM nuclear 0.12 output","2.","5.","0.","378.","683.","0.","151.571","0.","151.571","646.","133998.","653.","1.6272801791999999e-004","1.07198e-002",
"14849","1","8","1","148","Default","76324","Default","110745","AM nuclear 0.12 output","1.","0.","0.","181.","0.","0.","181.","0.","181.","278.","58074.","279.","6.9526978559999997e-005","3.58423e-003",
"14850","1","9","1","148","Default","76325","Default","110746","AM nuclear 0.12 output","2.","0.","2.","399.","0.","154.","138.25","0.5","199.5","514.","94513.","518.","1.2908593152e-004","7.72201e-003",
"14851","1","10","1","148","Default","76326","Default","110747","AM nuclear 0.12 output","0.","3.","1.","0.","391.","98.","122.25","0.25","130.333","675.","120770.","679.","1.6920723455999997e-004","5.89102e-003",
"14852","1","11","1","148","Default","76327","Default","110748","AM nuclear 0.12 output","2.","9.","8.","397.","1243.","600.","117.895","0.421053","149.091","16462.","3551017.","16481.","4.10707574784e-003","1.15284e-003",
"14853","1","12","1","148","Default","76328","Default","110749","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","748.","141084.","748.","1.8640207871999998e-004","0.",
"14854","2","1","1","148","Default","76329","Default","110750","AM nuclear 0.12 output","584.","19121.","96223.","109296.","2374741.","4981526.","64.3983","0.830024","126.061","5549648.","633839145.","5665576.","1.4118651651686398","2.04618e-002",
"14855","2","2","1","148","Default","76330","Default","110751","AM nuclear 0.12 output","1081.","18852.","59438.","204307.","2395730.","3311227.","74.4764","0.748863","130.439","5548182.","691901745.","5627553.","1.4023898092339198","1.4104e-002",
"14856","2","3","1","148","Default","76331","Default","110752","AM nuclear 0.12 output","4624.","17687.","17746.","883188.","2458840.","956344.","107.306","0.443019","149.793","5017328.","784265371.","5057385.","1.2603035787263999","7.9205e-003",
"14857","2","4","1","148","Default","76332","Default","110753","AM nuclear 0.12 output","8578.","47292.","24085.","1636442.","6520364.","1489100.","120.642","0.301232","145.996","4574327.","710543814.","4654282.","1.1598500531404798","1.71788e-002",
"14858","2","5","1","148","Default","76333","Default","110754","AM nuclear 0.12 output","2964.","83331.","185590.","556865.","10555124.","11404902.","82.8177","0.682605","128.767","4637675.","555279935.","4909560.","1.2234654941183998","5.53787e-002",
"14859","2","6","1","148","Default","76334","Default","110755","AM nuclear 0.12 output","3325.","82254.","234463.","622455.","10518419.","13537411.","77.1095","0.732601","130.182","5126402.","605640258.","5446444.","1.3572573305241598","5.87616e-002",
"14860","2","7","1","148","Default","76335","Default","110756","AM nuclear 0.12 output","1731.","7211.","14810.","330076.","984637.","732060.","86.1727","0.623526","147.027","3728306.","576274215.","3752058.","0.9350152549171199","6.33039e-003",
"14861","2","8","1","148","Default","76336","Default","110757","AM nuclear 0.12 output","2692.","8869.","13739.","517169.","1224279.","718711.","97.2395","0.543043","150.631","4833040.","743528201.","4858340.","1.2107014373375999","5.20754e-003",
"14862","2","9","1","148","Default","76337","Default","110758","AM nuclear 0.12 output","7084.","38441.","26018.","1345416.","5299896.","1707816.","116.757","0.363669","145.971","4985356.","755490628.","5056899.","1.2601824672153599","1.41476e-002",
"14863","2","10","1","148","Default","76338","Default","110759","AM nuclear 0.12 output","6515.","41332.","34468.","1238465.","5645437.","2061821.","108.677","0.418733","143.873","4853572.","760776026.","4935887.","1.2300261993676798","1.66768e-002",
"14864","2","11","1","148","Default","76339","Default","110760","AM nuclear 0.12 output","5238.","14141.","5234.","1013411.","1953288.","426135.","137.847","0.212652","153.088","5295029.","790298475.","5319642.","1.3256581909708798","4.62682e-003",
"14865","2","12","1","148","Default","76340","Default","110761","AM nuclear 0.12 output","2828.","9194.","2449.","542918.","1270801.","202178.","139.306","0.169235","150.867","5721427.","845300954.","5735898.","1.4293894525747199","2.52288e-003",
"14866","3","1","1","148","Default","76341","Default","110762","AM nuclear 0.12 output","9841.","145723.","155993.","1858939.","19011498.","8848082.","95.3871","0.500688","134.16","4666896.","586611117.","4978453.","1.24063367380992","6.25811e-002",
"14867","3","2","1","148","Default","76342","Default","110763","AM nuclear 0.12 output","11933.","222699.","183693.","2249134.","28691824.","11394224.","101.202","0.439116","131.87","4225892.","525404799.","4644217.","1.1573418486988798","9.00744e-002",
"14868","3","3","1","148","Default","76343","Default","110764","AM nuclear 0.12 output","1717.","10387.","10642.","327065.","1397991.","584053.","101.517","0.467862","142.519","5709371.","847771535.","5732117.","1.4284472249548799","3.96817e-003",
"14869","3","4","1","148","Default","76344","Default","110765","AM nuclear 0.12 output","3989.","20226.","20480.","757715.","2804492.","1037897.","102.922","0.458217","147.107","5433899.","830618167.","5478594.","1.3652691311001599","8.15812e-003",
"14870","3","5","1","148","Default","76345","Default","110766","AM nuclear 0.12 output","4770.","24538.","55329.","910864.","3304896.","3271953.","88.4686","0.653721","143.843","4276799.","620840062.","4361436.","1.0868726425190398","1.94058e-002",
"14871","3","6","1","148","Default","76346","Default","110767","AM nuclear 0.12 output","3256.","14767.","38158.","624114.","1973795.","2276105.","86.7556","0.679198","144.144","4508254.","666768801.","4564435.","1.1374601232383998","1.23084e-002",
"14872","3","7","1","148","Default","76347","Default","110768","AM nuclear 0.12 output","499.","3066.","10781.","95021.","404983.","628687.","78.6764","0.751499","140.254","5916867.","918069920.","5931213.","1.4780620755763199","2.41873e-003",
"14873","3","8","1","148","Default","76348","Default","110769","AM nuclear 0.12 output","247.","1178.","3946.","47677.","155671.","236689.","81.9283","0.734686","142.7","5611735.","879963298.","5617106.","1.3997864101478399","9.56186e-004",
"14874","3","9","1","148","Default","76349","Default","110770","AM nuclear 0.12 output","393.","14249.","102554.","74781.","1695998.","6124909.","67.3717","0.875064","120.938","4970376.","745703053.","5087572.","1.2678261984460799","2.30357e-002",
"14875","3","10","1","148","Default","76350","Default","110771","AM nuclear 0.12 output","375.","4077.","19866.","71699.","514623.","1206464.","73.7226","0.816926","131.699","5031812.","760185702.","5056130.","1.2599908319231998","4.80961e-003",
"14876","3","11","1","148","Default","76351","Default","110772","AM nuclear 0.12 output","1412.","14944.","78851.","265687.","1969021.","4265905.","68.2787","0.828206","136.629","5128230.","725357716.","5223437.","1.3016838433996798","1.82269e-002",
"14877","3","12","1","148","Default","76352","Default","110773","AM nuclear 0.12 output","2283.","22604.","48452.","431124.","3071999.","2735843.","85.0702","0.660658","140.761","5499799.","785173675.","5573138.","1.38882955640832","1.31594e-002",
"14878","4","1","1","148","Default","76353","Default","110774","AM nuclear 0.12 output","944.","3138.","5768.","181559.","427567.","300629.","92.3609","0.585584","149.222","4761286.","721916266.","4771136.","1.1889701447270398","2.0645e-003",
"14879","4","2","1","148","Default","76354","Default","110775","AM nuclear 0.12 output","367.","1202.","2448.","71038.","162274.","126970.","89.6893","0.60941","148.701","5064235.","807372268.","5068252.","1.2630116420812798","7.92581e-004",
"14880","4","3","1","148","Default","76355","Default","110776","AM nuclear 0.12 output","2180.","18520.","58923.","414562.","2445500.","3176512.","75.8145","0.740025","138.167","3868297.","503672719.","3947920.","0.98382419066879989","2.01683e-002",
"14881","4","4","1","148","Default","76356","Default","110777","AM nuclear 0.12 output","4392.","48293.","105898.","828329.","6426047.","5166038.","78.3212","0.667776","137.693","3366899.","425729338.","3525482.","0.87855237070847991","4.49819e-002",
"14882","4","5","1","148","Default","76357","Default","110778","AM nuclear 0.12 output","2890.","18668.","8760.","555228.","2532304.","603941.","121.758","0.288937","143.22","3168703.","535630836.","3199021.","0.79719808057343988","9.47727e-003",
"14883","4","6","1","148","Default","76358","Default","110779","AM nuclear 0.12 output","2058.","9395.","9532.","395330.","1279020.","615929.","109.139","0.454229","146.193","3322009.","563683923.","3342994.","0.8330762443161599","6.27731e-003",
"14884","4","7","1","148","Default","76359","Default","110780","AM nuclear 0.12 output","1300.","4102.","2062.","249246.","566846.","150677.","129.524","0.276259","151.072","5854256.","953064952.","5861720.","1.4607443755007998","1.27335e-003",
"14885","4","8","1","148","Default","76360","Default","110781","AM nuclear 0.12 output","1115.","5270.","2682.","212295.","708414.","217992.","125.587","0.295798","144.199","5778451.","897938065.","5787518.","1.4422531896115198","1.56665e-003",
"14886","4","9","1","148","Default","76361","Default","110782","AM nuclear 0.12 output","3975.","42585.","210928.","752318.","5531852.","10637067.","65.7166","0.819176","134.969","5673058.","697585141.","5930546.","1.4778958587494397","4.34173e-002",
"14887","4","10","1","148","Default","76362","Default","110783","AM nuclear 0.12 output","1826.","20751.","110001.","345478.","2635766.","5657979.","65.1633","0.829708","132.048","6277409.","751064616.","6409987.","1.5973728627916799","2.0683e-002",
"14888","4","11","1","148","Default","76363","Default","110784","AM nuclear 0.12 output","20804.","146927.","75802.","3938029.","20348238.","4987957.","120.206","0.31126","144.793","5805781.","883128913.","6049314.","1.5074929203609599","4.0258e-002",
"14889","4","12","1","148","Default","76364","Default","110785","AM nuclear 0.12 output","14244.","84168.","93084.","2700118.","11706475.","5156648.","102.16","0.486088","146.391","6108881.","992175613.","6300377.","1.5700579806412798","3.03944e-002",
"14890","5","1","1","148","Default","76365","Default","110786","AM nuclear 0.12 output","1718.","47879.","98451.","322300.","6010959.","5617684.","80.7234","0.664994","127.694","6631391.","923841992.","6779439.","1.6894405376409598","2.18378e-002",
"14891","5","2","1","148","Default","76366","Default","110787","AM nuclear 0.12 output","902.","8457.","36473.","171917.","1087221.","1732417.","65.2722","0.795798","134.538","2581330.","358616790.","2627162.","0.65469045178367991","1.74454e-002",
"14892","5","3","1","148","Default","76367","Default","110788","AM nuclear 0.12 output","4397.","67481.","358196.","832341.","8544210.","19551425.","67.2628","0.832871","130.451","5580012.","663165492.","6010086.","1.4977172776550398","7.15587e-002",
"14893","5","4","1","148","Default","76368","Default","110789","AM nuclear 0.12 output","3469.","63489.","309069.","654156.","7979732.","17571466.","69.6901","0.821933","128.945","5494365.","653433524.","5870392.","1.4629054434508799","6.40548e-002",
"14894","5","5","1","148","Default","76369","Default","110790","AM nuclear 0.12 output","7995.","47928.","10586.","1520168.","6540861.","794387.","133.146","0.159166","144.145","5809968.","889860275.","5876477.","1.4644218293452798","1.13178e-002",
"14895","5","6","1","148","Default","76370","Default","110791","AM nuclear 0.12 output","6446.","30745.","10005.","1221703.","4312722.","693715.","131.963","0.211988","148.811","5928104.","912308120.","5975300.","1.4890485841919998","7.89852e-003",
"14896","5","7","1","148","Default","76371","Default","110792","AM nuclear 0.12 output","3062.","27015.","88183.","575680.","3598693.","4842279.","76.2443","0.745671","138.79","6138568.","844505207.","6256828.","1.5592055419699198","1.8901e-002",
"14897","5","8","1","148","Default","76372","Default","110793","AM nuclear 0.12 output","5431.","59757.","142201.","1020078.","7998558.","8138514.","82.7293","0.685673","138.348","5822490.","784639281.","6029879.","1.5026497059225599","3.43936e-002",
"14898","5","9","1","148","Default","76373","Default","110794","AM nuclear 0.12 output","5032.","47040.","42159.","959873.","6113357.","3141250.","108.398","0.447401","135.836","2946186.","435146780.","3040417.","0.75767386226687994","3.09928e-002",
"14899","5","10","1","148","Default","76374","Default","110795","AM nuclear 0.12 output","2739.","32727.","49573.","523672.","4143831.","3661185.","97.9396","0.582944","131.605","2734250.","388248305.","2819289.","0.70256862314495994","3.01633e-002",
