"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32918 FOXP3)","Data Group (Slide 32918 FOXP3)","Annotation Id (Slide 32918 FOXP3)","Annotation Name (Slide 32918 FOXP3)","  Nwp = Number of Weak Positive (Slide 32918 FOXP3)","  Np  = Number of Positive (Slide 32918 FOXP3)","  Nsp = Number of Strong Positive (Slide 32918 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32918 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32918 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32918 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32918 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32918 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32918 FOXP3)","  Nn = Number of Negative (Slide 32918 FOXP3)","  In = Total Intensity of Negative (Slide 32918 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32918 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32918 FOXP3)","  Positivity = NPositive/NTotal (Slide 32918 FOXP3)",
"14938","1","1","1","149","Default","83001","Default","110846","AM nuclear 0.12 output","12392.","67769.","30751.","2364688.","9335468.","2283427.","126.078","0.277256","145.958","4025840.","589033945.","4136752.","1.0308812459212799","2.68114e-002",
"14939","1","2","1","149","Default","83002","Default","110847","AM nuclear 0.12 output","13228.","96021.","40416.","2506158.","13131809.","3048135.","124.853","0.270043","143.141","4487914.","643420274.","4637579.","1.1556876548505599","3.22722e-002",
"14940","1","3","1","149","Default","83003","Default","110848","AM nuclear 0.12 output","3984.","14885.","4130.","764764.","2066995.","340800.","137.943","0.179573","150.075","2873500.","511346006.","2896499.","0.72180940455935994","7.94028e-003",
"14941","1","4","1","149","Default","83004","Default","110849","AM nuclear 0.12 output","1912.","5744.","1234.","365903.","813354.","102101.","144.135","0.138808","154.03","3205751.","593623002.","3214641.","0.8010905945702399","2.76547e-003",
"14942","1","5","1","149","Default","83005","Default","110850","AM nuclear 0.12 output","10.","9.","0.","1942.","1277.","0.","169.421","0.","169.421","2840.","582373.","2859.","7.124646297599999e-004","6.64568e-003",
"14943","1","6","1","149","Default","83006","Default","110851","AM nuclear 0.12 output","1.","14.","30.","179.","1627.","2349.","92.3333","0.666667","120.4","10695.","2041293.","10740.","2.6764148735999999e-003","4.18994e-003",
"14944","1","7","1","149","Default","83007","Default","110852","AM nuclear 0.12 output","508.","2808.","425.","96564.","391868.","36793.","140.397","0.113606","147.296","85363.","13528358.","89104.","2.2204773826559998e-002","4.19846e-002",
"14945","1","8","1","149","Default","83008","Default","110853","AM nuclear 0.12 output","395.","2365.","437.","74891.","326062.","37753.","137.224","0.136691","145.273","61877.","9835068.","65074.","1.6216482447359997e-002","4.91287e-002",
"14946","1","9","1","149","Default","83009","Default","110854","AM nuclear 0.12 output","1.","0.","0.","185.","0.","0.","185.","0.","185.","82.","16467.","83.","2.0683653119999999e-005","1.20482e-002",
"14947","1","10","1","149","Default","83010","Default","110855","AM nuclear 0.12 output","57.","431.","341.","10816.","58272.","26669.","115.509","0.411339","141.574","20635.","3322643.","21464.","5.3488425369599994e-003","3.86228e-002",
"14948","1","11","1","149","Default","83011","Default","110856","AM nuclear 0.12 output","0.","1.","2.","0.","172.","170.","114.","0.666667","172.","112.","23292.","115.","2.8658073599999998e-005","2.6087e-002",
"14949","1","12","1","149","Default","83012","Default","110857","AM nuclear 0.12 output","4.","8.","3.","776.","1162.","251.","145.933","0.2","161.5","1073.","200115.","1088.","2.7113029631999996e-004","1.37868e-002",
"14950","2","1","1","149","Default","83013","Default","110858","AM nuclear 0.12 output","530.","5574.","30401.","101730.","700776.","1862615.","73.007","0.83279","131.472","5961267.","893166901.","5997772.","1.4946486209740799","6.08643e-003",
"14951","2","2","1","149","Default","83014","Default","110859","AM nuclear 0.12 output","325.","6159.","51409.","62145.","758007.","3048479.","66.8238","0.888","126.489","5843422.","863437537.","5901315.","1.4706114748415999","9.81019e-003",
"14952","2","3","1","149","Default","83015","Default","110860","AM nuclear 0.12 output","1181.","6510.","7491.","224435.","869322.","425665.","100.08","0.493413","142.213","6080837.","952636870.","6096019.","1.5191318362521598","2.49048e-003",
"14953","2","4","1","149","Default","83016","Default","110861","AM nuclear 0.12 output","1588.","11334.","16221.","301015.","1496625.","1080333.","98.7535","0.5566","139.115","5831294.","855525795.","5860437.","1.4604246510796799","4.97284e-003",
"14954","2","5","1","149","Default","83017","Default","110862","AM nuclear 0.12 output","16935.","102393.","190589.","3204323.","14014557.","10882824.","90.6749","0.614968","144.299","4939066.","705624884.","5248983.","1.3080499229491198","5.90432e-002",
"14955","2","6","1","149","Default","83018","Default","110863","AM nuclear 0.12 output","15949.","74339.","155197.","3038464.","10135022.","8990638.","90.2871","0.632206","145.905","4250386.","614808186.","4495871.","1.1203739305574398","5.46023e-002",
"14956","2","7","1","149","Default","83019","Default","110864","AM nuclear 0.12 output","8499.","51873.","12301.","1608966.","7221554.","996459.","135.222","0.169265","146.268","4397321.","686439955.","4469994.","1.1139253655961598","1.6258e-002",
"14957","2","8","1","149","Default","83020","Default","110865","AM nuclear 0.12 output","10554.","86267.","85726.","1997578.","11694546.","5166806.","103.31","0.469611","141.417","3132357.","477962520.","3314904.","0.82607619833855994","5.50686e-002",
"14958","2","9","1","149","Default","83021","Default","110866","AM nuclear 0.12 output","3912.","77049.","223288.","734065.","9870790.","14508659.","82.5426","0.733899","130.987","6176507.","783570626.","6480756.","1.6150085428838399","4.69465e-002",
"14959","2","10","1","149","Default","83022","Default","110867","AM nuclear 0.12 output","3269.","42992.","137370.","615115.","5612985.","7187967.","73.0599","0.748076","134.63","3596085.","510257153.","3779716.","0.94190764621823986","4.85833e-002",
"14960","2","11","1","149","Default","83023","Default","110868","AM nuclear 0.12 output","2371.","32090.","97080.","446672.","4139434.","5592915.","77.3829","0.738021","133.081","6611630.","967247060.","6743171.","1.6804025288294397","1.95073e-002",
"14961","2","12","1","149","Default","83024","Default","110869","AM nuclear 0.12 output","2031.","23110.","98497.","384293.","2986663.","5437074.","71.2405","0.796656","134.082","5489218.","788526399.","5612856.","1.3987273074278399","2.20276e-002",
"14962","3","1","1","149","Default","83025","Default","110870","AM nuclear 0.12 output","11945.","66841.","27690.","2262900.","9378765.","1755073.","125.819","0.260059","147.763","4966319.","727465836.","5072795.","1.2641437605888","2.09896e-002",
"14963","3","2","1","149","Default","83026","Default","110871","AM nuclear 0.12 output","13780.","77561.","45051.","2596419.","10978650.","2782203.","119.928","0.330305","148.62","5259299.","793356551.","5395691.","1.3446096504422398","2.52779e-002",
"14964","3","3","1","149","Default","83027","Default","110872","AM nuclear 0.12 output","8065.","38446.","80462.","1548556.","5153953.","5097006.","92.9293","0.633694","144.106","4435624.","653278125.","4562597.","1.1370020924620798","2.78291e-002",
"14965","3","4","1","149","Default","83028","Default","110873","AM nuclear 0.12 output","21083.","108025.","175825.","4034628.","14558335.","11282066.","97.9724","0.576602","144.011","4240288.","651086575.","4545221.","1.1326719821414399","6.70887e-002",
"14966","3","5","1","149","Default","83029","Default","110874","AM nuclear 0.12 output","20136.","121889.","16335.","3790642.","17499157.","1104080.","141.411","0.103151","149.902","5692945.","893977544.","5851305.","1.4581489508351999","2.7064e-002",
"14967","3","6","1","149","Default","83030","Default","110875","AM nuclear 0.12 output","14393.","75002.","17371.","2717606.","10646892.","1307488.","137.422","0.162702","149.499","6269337.","959081326.","6376103.","1.5889289483059199","1.67447e-002",
"14968","3","7","1","149","Default","83031","Default","110876","AM nuclear 0.12 output","2973.","32033.","146460.","563450.","4116563.","7714353.","68.3013","0.807093","133.692","4890898.","653521346.","5072364.","1.2640363551129599","3.57754e-002",
"14969","3","8","1","149","Default","83032","Default","110877","AM nuclear 0.12 output","2291.","33985.","196616.","433169.","4248794.","10731032.","66.1809","0.844237","129.065","5919454.","786002160.","6152346.","1.5331685607014398","3.78542e-002",
"14970","3","9","1","149","Default","83033","Default","110878","AM nuclear 0.12 output","11865.","52824.","11414.","2263196.","7382947.","876916.","138.274","0.149981","149.116","4548788.","685970712.","4624891.","1.1525257971302398","1.64551e-002",
"14971","3","10","1","149","Default","83034","Default","110879","AM nuclear 0.12 output","15505.","118919.","23908.","2923384.","16551906.","1864007.","134.776","0.150999","144.88","5077558.","745091554.","5235890.","1.3047871389696","3.02397e-002",
"14972","3","11","1","149","Default","83035","Default","110880","AM nuclear 0.12 output","12196.","63586.","47774.","2319787.","8839488.","3058951.","115.075","0.386659","147.255","4200706.","643158601.","4324262.","1.0776088579276799","2.85727e-002",
"14973","3","12","1","149","Default","83036","Default","110881","AM nuclear 0.12 output","7918.","53004.","39050.","1492764.","7536132.","2438462.","114.706","0.390609","148.204","5215633.","753352617.","5315605.","1.3246521679871999","1.88073e-002",
"14974","4","1","1","149","Default","83037","Default","110882","AM nuclear 0.12 output","19932.","97661.","106726.","3835062.","13081924.","7108560.","107.104","0.475778","143.86","4094412.","517942660.","4318731.","1.0762305291878398","5.1941e-002",
"14975","4","2","1","149","Default","83038","Default","110883","AM nuclear 0.12 output","17114.","92527.","112171.","3279152.","12394447.","7332978.","103.721","0.505703","142.954","3856454.","512713416.","4078266.","1.0163064972902398","5.43888e-002",
"14976","4","3","1","149","Default","83039","Default","110884","AM nuclear 0.12 output","3821.","39260.","27264.","728105.","5210612.","1646459.","107.828","0.387576","137.85","4469751.","763976973.","4540096.","1.1313948288614399","1.54942e-002",
"14977","4","4","1","149","Default","83040","Default","110885","AM nuclear 0.12 output","10869.","36818.","8109.","2068226.","5263947.","601526.","142.191","0.145333","153.756","5325234.","845517353.","5381030.","1.3409561198591999","1.0369e-002",
"14978","4","5","1","149","Default","83041","Default","110886","AM nuclear 0.12 output","1928.","33258.","133023.","360673.","4308418.","7718926.","73.6466","0.79082","132.697","6263152.","877981271.","6431361.","1.6026992772710398","2.61545e-002",
"14979","4","6","1","149","Default","83042","Default","110887","AM nuclear 0.12 output","1738.","34094.","115340.","325513.","4350775.","6721160.","75.3939","0.762972","130.506","6362166.","854352975.","6513338.","1.6231279981363198","2.32096e-002",
"14980","4","7","1","149","Default","83043","Default","110888","AM nuclear 0.12 output","1284.","9576.","3388.","245496.","1262118.","269682.","124.74","0.237788","138.823","5918675.","828530919.","5932923.","1.4784882086707198","2.40151e-003",
"14981","4","8","1","149","Default","83044","Default","110889","AM nuclear 0.12 output","667.","8976.","3589.","126086.","1153940.","294768.","119.014","0.271236","132.741","6301578.","868882303.","6314810.","1.5736546934783999","2.09539e-003",
"14982","4","9","1","149","Default","83045","Default","110890","AM nuclear 0.12 output","5996.","30143.","36693.","1151767.","4018175.","2628058.","107.068","0.503803","143.057","4336024.","623090177.","4408856.","1.0986897368678399","1.65195e-002",
"14983","4","10","1","149","Default","83046","Default","110891","AM nuclear 0.12 output","2444.","8368.","8517.","473794.","1129505.","625707.","115.319","0.440633","148.289","3770918.","540754825.","3790247.","0.94453197815807988","5.09967e-003",
"14984","4","11","1","149","Default","83047","Default","110892","AM nuclear 0.12 output","19354.","117223.","87777.","3690595.","15999065.","5734036.","113.32","0.391243","144.165","4161617.","644853225.","4385971.","1.0929867802214399","5.11526e-002",
"14985","4","12","1","149","Default","83048","Default","110893","AM nuclear 0.12 output","8400.","44833.","45786.","1603355.","6164284.","2943047.","108.168","0.462396","145.918","4433025.","749504303.","4532044.","1.1293882653081599","2.18486e-002",
"14986","5","1","1","149","Default","83049","Default","110894","AM nuclear 0.12 output","7268.","26744.","17694.","1401604.","3654156.","1188943.","120.773","0.342204","148.646","2275820.","323647127.","2327526.","0.58002096881663989","2.2215e-002",
"14987","5","2","1","149","Default","83050","Default","110895","AM nuclear 0.12 output","5273.","15858.","52217.","1015015.","2212800.","2369723.","76.3148","0.711908","152.753","2874756.","444387423.","2948104.","0.73466940358655997","2.48797e-002",
"14988","5","3","1","149","Default","83051","Default","110896","AM nuclear 0.12 output","6909.","26086.","8991.","1324622.","3631323.","667630.","133.939","0.214143","150.203","2630892.","390871718.","2672878.","0.66608290824191996","1.57082e-002",
"14989","5","4","1","149","Default","83052","Default","110897","AM nuclear 0.12 output","8793.","26582.","8360.","1694609.","3728007.","646578.","138.772","0.191151","153.289","2701989.","405996177.","2745724.","0.6842361780633599","1.59284e-002",
"14990","5","5","1","149","Default","83053","Default","110898","AM nuclear 0.12 output","3768.","14426.","20924.","727575.","1941416.","1431667.","104.828","0.534894","146.696","2728030.","418045341.","2767148.","0.68957505257471996","1.41366e-002",
"14991","5","6","1","149","Default","83054","Default","110899","AM nuclear 0.12 output","3095.","6217.","2548.","601152.","873983.","202162.","141.425","0.21484","158.412","3046982.","469966091.","3058842.","0.76226538405887989","3.87728e-003",
"14992","5","7","1","149","Default","83055","Default","110900","AM nuclear 0.12 output","20723.","169971.","235188.","3921135.","23009292.","12835493.","93.3731","0.552237","141.223","4931465.","684975279.","5357347.","1.3350543011020799","7.94949e-002",
"14993","5","8","1","149","Default","83056","Default","110901","AM nuclear 0.12 output","15726.","135848.","197528.","2968312.","18411062.","10976994.","92.6846","0.565817","141.049","3924937.","528739104.","4274039.","1.0650932541849598","8.16796e-002",
"14994","5","9","1","149","Default","83057","Default","110902","AM nuclear 0.12 output","16896.","290473.","173670.","3169468.","38825121.","12181926.","112.624","0.361031","136.626","4858732.","642872018.","5339771.","1.3306743506534398","9.00861e-002",
