"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32920 FOXP3)","Data Group (Slide 32920 FOXP3)","Annotation Id (Slide 32920 FOXP3)","Annotation Name (Slide 32920 FOXP3)","  Nwp = Number of Weak Positive (Slide 32920 FOXP3)","  Np  = Number of Positive (Slide 32920 FOXP3)","  Nsp = Number of Strong Positive (Slide 32920 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32920 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32920 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32920 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32920 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32920 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32920 FOXP3)","  Nn = Number of Negative (Slide 32920 FOXP3)","  In = Total Intensity of Negative (Slide 32920 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32920 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32920 FOXP3)","  Positivity = NPositive/NTotal (Slide 32920 FOXP3)",
"15130","1","1","1","151","Default","83217","Default",
"15131","1","2","1","151","Default","83218","Default",
"15132","1","3","1","151","Default","83219","Default",
"15133","1","4","1","151","Default","83220","Default",
"15134","1","5","1","151","Default","83221","Default",
"15135","1","6","1","151","Default","83222","Default",
"15136","1","7","1","151","Default","83223","Default",
"15137","1","8","1","151","Default","83224","Default",
"15138","1","9","1","151","Default","83225","Default",
"15139","1","10","1","151","Default","83226","Default",
"15140","1","11","1","151","Default","83227","Default",
"15141","1","12","1","151","Default","83228","Default",
"15142","2","1","1","151","Default","83229","Default","123227","AM nuclear 0.12 output","3021.","18771.","70007.","573719.","2479547.","3847021.","75.1673","0.762612","140.109","4618593.","701243997.","4710392.","1.1738327010508798","1.94886e-002",
"15143","2","2","1","151","Default","83230","Default","123229","AM nuclear 0.12 output","2823.","17925.","65285.","534953.","2364914.","3779424.","77.6364","0.758837","139.766","5254680.","809535971.","5340713.","1.3309090976563198","1.61089e-002",
"15144","2","3","1","151","Default","83231","Default","","","","","","","","","","","","","","","","",
"15145","2","4","1","151","Default","83232","Default","","","","","","","","","","","","","","","","",
"15146","2","5","1","151","Default","83233","Default","123231","AM nuclear 0.12 output","522.","3937.","10783.","99136.","514104.","627703.","81.416","0.707453","137.529","1995515.","276933445.","2010757.","0.50108193128447998","7.58023e-003",
"15147","2","6","1","151","Default","83234","Default","123233","AM nuclear 0.12 output","656.","3733.","9148.","125699.","491622.","539283.","85.4402","0.675777","140.652","2628651.","362528390.","2642188.","0.65843494060031993","5.12341e-003",
"15148","2","7","1","151","Default","83235","Default","123235","AM nuclear 0.12 output","144.","4026.","23179.","26967.","500730.","1457626.","72.5922","0.847526","126.546","5053615.","752087924.","5080964.","1.26617948061696","5.38264e-003",
"15149","2","8","1","151","Default","83236","Default","123238","AM nuclear 0.12 output","137.","4573.","30131.","25473.","566050.","1860098.","70.366","0.864814","125.589","4959430.","740818495.","4994271.","1.24457552953344","6.97619e-003",
"15150","2","9","1","151","Default","83237","Default","","","","","","","","","","","","","","","","",
"15151","2","10","1","151","Default","83238","Default","","","","","","","","","","","","","","","","",
"15152","2","11","1","151","Default","83239","Default","123240","AM nuclear 0.12 output","8475.","48562.","102918.","1620094.","6495860.","6197762.","89.4859","0.643418","142.293","2737334.","391000065.","2897289.","0.7220062730649599","5.52085e-002",
"15153","2","12","1","151","Default","83240","Default","123241","AM nuclear 0.12 output","11951.","72203.","145150.","2285523.","9639047.","8587690.","89.4544","0.633002","141.699","4392318.","623979193.","4621622.","1.1517111602380798","4.96155e-002",
"15154","3","1","1","151","Default","83241","Default","","","","","","","","","","","","","","","","",
"15155","3","2","1","151","Default","83242","Default","","","","","","","","","","","","","","","","",
"15156","3","3","1","151","Default","83243","Default","","","","","","","","","","","","","","","","",
"15157","3","4","1","151","Default","83244","Default","","","","","","","","","","","","","","","","",
