"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32938 FOXP3)","Data Group (Slide 32938 FOXP3)","Annotation Id (Slide 32938 FOXP3)","Annotation Name (Slide 32938 FOXP3)","  Nwp = Number of Weak Positive (Slide 32938 FOXP3)","  Np  = Number of Positive (Slide 32938 FOXP3)","  Nsp = Number of Strong Positive (Slide 32938 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32938 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32938 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32938 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32938 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32938 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32938 FOXP3)","  Nn = Number of Negative (Slide 32938 FOXP3)","  In = Total Intensity of Negative (Slide 32938 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32938 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32938 FOXP3)","  Positivity = NPositive/NTotal (Slide 32938 FOXP3)",
"15226","1","1","1","152","Default","83325","Default","111275","AM nuclear 0.12 output","10324.","99079.","32592.","1958879.","13227705.","2717334.","126.088","0.229529","138.813","4666156.","634259997.","4808151.","1.1981943064166398","2.95321e-002",
"15227","1","2","1","152","Default","83326","Default","111276","AM nuclear 0.12 output","8502.","98847.","32517.","1606734.","13255419.","2628491.","125.053","0.232487","138.447","3618765.","500593512.","3758631.","0.93665325072383987","3.7212e-002",
"15228","1","3","1","152","Default","83327","Default","111277","AM nuclear 0.12 output","20357.","99550.","31654.","3891293.","13863581.","2183042.","131.55","0.208853","148.072","3445491.","512185151.","3597052.","0.89638766051327989","4.21348e-002",
"15229","1","4","1","152","Default","83328","Default","111278","AM nuclear 0.12 output","13405.","69957.","12841.","2547586.","9875622.","1004520.","139.577","0.133478","149.027","3527409.","589065205.","3623612.","0.90300642951167986","2.65489e-002",
"15230","1","5","1","152","Default","83329","Default","111279","AM nuclear 0.12 output","0.","6.","11.","0.","957.","842.","105.824","0.647059","159.5","1413.","196234.","1430.","3.5635691519999999e-004","1.18881e-002",
"15231","1","6","1","152","Default","83330","Default","111280","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","289.","57372.","289.","7.2018984959999996e-005","0.",
"15232","1","7","1","152","Default","83331","Default","111281","AM nuclear 0.12 output","1.","2.","2.","182.","260.","125.","113.4","0.4","147.333","217.","42246.","222.","5.5322542079999991e-005","2.25225e-002",
"15233","1","8","1","152","Default","83332","Default","111282","AM nuclear 0.12 output","6.","21.","0.","1135.","3267.","0.","163.037","0.","163.037","146.","29666.","173.","4.3111710719999997e-005","0.156069",
"15234","1","9","1","152","Default","83333","Default","111283","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","29.","6235.","29.","7.2268185599999996e-006","0.",
"15235","1","10","1","152","Default","83334","Default","111284","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","1656.","335283.","1656.","4.1267625983999994e-004","0.",
"15236","1","11","1","152","Default","83335","Default","111285","AM nuclear 0.12 output","0.","1.","0.","0.","156.","0.","156.","0.","156.","102.","21067.","103.","2.5667665919999997e-005","9.70874e-003",
