"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32922 FOXP3)","Data Group (Slide 32922 FOXP3)","Annotation Id (Slide 32922 FOXP3)","Annotation Name (Slide 32922 FOXP3)","  Nwp = Number of Weak Positive (Slide 32922 FOXP3)","  Np  = Number of Positive (Slide 32922 FOXP3)","  Nsp = Number of Strong Positive (Slide 32922 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32922 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32922 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32922 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32922 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32922 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32922 FOXP3)","  Nn = Number of Negative (Slide 32922 FOXP3)","  In = Total Intensity of Negative (Slide 32922 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32922 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32922 FOXP3)","  Positivity = NPositive/NTotal (Slide 32922 FOXP3)",
"15322","1","1","1","153","Default","83433","Default","111402","AM nuclear 0.12 output","1260.","13904.","104448.","238858.","1809321.","5418063.","62.4205","0.873223","135.069","2364877.","267030698.","2484489.","0.61913624887295993","4.81435e-002",
"15323","1","2","1","153","Default","83434","Default","111403","AM nuclear 0.12 output","6205.","46983.","63217.","1180511.","6259528.","4134005.","99.4291","0.543078","139.882","2794701.","361563078.","2911106.","0.7254494783078399","3.99865e-002",
"15324","1","3","1","153","Default","83435","Default","111405","AM nuclear 0.12 output","781.","2359.","1055.","148919.","336196.","71169.","132.606","0.25149","154.495","3361064.","588816106.","3365259.","0.83862469656575989","1.24656e-003",
"15325","1","4","1","153","Default","83436","Default","111406","AM nuclear 0.12 output","490.","2790.","1497.","93527.","381408.","108239.","122.08","0.313377","144.797","3979119.","717156686.","3983896.","0.9927894328934399","1.19908e-003",
"15326","1","5","1","153","Default","83437","Default","111407","AM nuclear 0.12 output","0.","3.","0.","0.","408.","0.","136.","0.","136.","130.","26762.","133.","3.3143685119999996e-005","2.25564e-002",
"15327","1","6","1","153","Default","83438","Default","111408","AM nuclear 0.12 output","0.","2.","0.","0.","277.","0.","138.5","0.","138.5","187.","35637.","189.","4.7098920959999995e-005","1.0582e-002",
"15328","1","7","1","153","Default","83439","Default","111409","AM nuclear 0.12 output","1.","2.","0.","198.","332.","0.","176.667","0.","176.667","224.","46438.","227.","5.6568545279999997e-005","1.32159e-002",
"15329","1","8","1","153","Default","83440","Default","111410","AM nuclear 0.12 output","8.","9.","1.","1549.","1274.","87.","161.667","5.55556e-002","166.059","165.","29576.","183.","4.5603717119999996e-005","9.83607e-002",
"15330","1","9","1","153","Default","83441","Default","111411","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","147.","30346.","147.","3.6632494079999994e-005","0.",
"15331","1","10","1","153","Default","83442","Default","111412","AM nuclear 0.12 output","1.","18.","12.","177.","2537.","633.","107.968","0.387097","142.842","1420.","226316.","1451.","3.6159012863999998e-004","2.13646e-002",
