"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32923 FOXP3)","Data Group (Slide 32923 FOXP3)","Annotation Id (Slide 32923 FOXP3)","Annotation Name (Slide 32923 FOXP3)","  Nwp = Number of Weak Positive (Slide 32923 FOXP3)","  Np  = Number of Positive (Slide 32923 FOXP3)","  Nsp = Number of Strong Positive (Slide 32923 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32923 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32923 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32923 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32923 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32923 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32923 FOXP3)","  Nn = Number of Negative (Slide 32923 FOXP3)","  In = Total Intensity of Negative (Slide 32923 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32923 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32923 FOXP3)","  Positivity = NPositive/NTotal (Slide 32923 FOXP3)",
"16330","1","1","1","159","Default","83517","Default","111496","AM nuclear 0.12 output","5072.","43906.","22886.","956971.","5930354.","1740178.","120.053","0.318463","140.621","4517744.","675352782.","4589608.","1.1437332509491198","1.5658e-002",
"16331","1","2","1","159","Default","83518","Default","111497","AM nuclear 0.12 output","12136.","116725.","42869.","2291169.","15917284.","3079303.","123.961","0.24963","141.303","4014316.","569877867.","4186046.","1.0431653422694398","4.10244e-002",
"16332","1","3","1","159","Default","83519","Default","111498","AM nuclear 0.12 output","1272.","19810.","21498.","242676.","2509708.","1596075.","102.124","0.504885","130.556","828585.","129691952.","871165.","0.21709487554559997","4.88771e-002",
"16333","1","4","1","159","Default","83520","Default","111499","AM nuclear 0.12 output","1226.","15949.","24345.","234458.","2016159.","1785091.","97.1991","0.586344","131.04","940453.","150719830.","981973.","0.24470830006271999","4.22822e-002",
"16334","1","5","1","159","Default","83521","Default","111500","AM nuclear 0.12 output","0.","4.","0.","0.","583.","0.","145.75","0.","145.75","607.","124734.","611.","1.5226159103999998e-004","6.54664e-003",
"16335","1","6","1","159","Default","83522","Default","111502","AM nuclear 0.12 output","4.","5.","0.","840.","797.","0.","181.889","0.","181.889","607.","124792.","616.","1.5350759423999997e-004","1.46104e-002",
"16336","1","7","1","159","Default","83523","Default","111503","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","191.","38397.","191.","4.7597322239999995e-005","0.",
"16337","1","8","1","159","Default","83524","Default","111504","AM nuclear 0.12 output","1.","2.","0.","205.","278.","0.","161.","0.","161.","216.","45020.","219.","5.4574940159999991e-005","1.36986e-002",
"16338","1","9","1","159","Default","83525","Default","111505","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","268.","56443.","268.","6.6785771519999992e-005","0.",
"16339","1","10","1","159","Default","83526","Default","111506","AM nuclear 0.12 output","2.","6.","11.","379.","857.","660.","99.7895","0.578947","154.5","2175.","390102.","2194.","5.4674620415999997e-004","8.65998e-003",
"16340","1","11","1","159","Default","83527","Default","111507","AM nuclear 0.12 output","3.","0.","3.","617.","0.","160.","129.5","0.5","205.667","554.","114818.","560.","1.3955235839999998e-004","1.07143e-002",
"16341","1","12","1","159","Default","83528","Default","111508","AM nuclear 0.12 output","3.","2.","0.","606.","321.","0.","185.4","0.","185.4","359.","72625.","364.","9.0709032959999993e-005","1.37363e-002",
"16342","2","1","1","159","Default","83529","Default","111509","AM nuclear 0.12 output","3394.","12941.","29475.","650381.","1751617.","1737944.","90.372","0.643418","147.046","3716275.","549658575.","3762085.","0.93751398973439992","1.21768e-002",
"16343","2","2","1","159","Default","83530","Default","111510","AM nuclear 0.12 output","7234.","24192.","37810.","1391897.","3299331.","2334783.","101.479","0.546103","149.279","3602220.","530387005.","3671456.","0.91492918493183994","1.88579e-002",
"16344","2","3","1","159","Default","83531","Default","111511","AM nuclear 0.12 output","9826.","47645.","23429.","1875895.","6485041.","1788780.","125.46","0.289604","145.481","2748378.","408426505.","2829278.","0.70505788833791994","2.85939e-002",
"16345","2","4","1","159","Default","83532","Default","111512","AM nuclear 0.12 output","12254.","64809.","57311.","2342105.","8744560.","3803197.","110.809","0.426504","143.865","3576050.","521705000.","3710424.","0.92464003547135987","3.62153e-002",
"16346","2","5","1","159","Default","83533","Default","111513","AM nuclear 0.12 output","4856.","48420.","139580.","912649.","6493261.","7278278.","76.1407","0.723752","139.01","4425033.","616891732.","4617889.","1.1507808942489599","4.17628e-002",
"16347","2","6","1","159","Default","83534","Default","111514","AM nuclear 0.12 output","7258.","63141.","167682.","1375158.","8418337.","9074363.","79.2497","0.704307","139.114","5010486.","706108351.","5248567.","1.3079462554828798","4.53611e-002",
"16348","2","7","1","159","Default","83535","Default","111515","AM nuclear 0.12 output","18755.","107653.","20256.","3554749.","15114428.","1429261.","137.037","0.138112","147.69","4686528.","739539012.","4833192.","1.2044345396428799","3.03452e-002",
"16349","2","8","1","159","Default","83536","Default","111516","AM nuclear 0.12 output","7223.","56746.","18540.","1371829.","7816923.","1184004.","125.717","0.224703","143.644","3582689.","551875755.","3665198.","0.91336968732671986","2.25115e-002",
"16350","2","9","1","159","Default","83537","Default","111517","AM nuclear 0.12 output","13346.","305670.","188459.","2492871.","40788885.","12323436.","109.572","0.371366","135.673","4081562.","541888538.","4589037.","1.1435909573836798","0.110584",
"16351","2","10","1","159","Default","83538","Default","111518","AM nuclear 0.12 output","10282.","220333.","164736.","1923100.","29217514.","10632952.","105.662","0.416683","135.033","4318657.","561085883.","4714008.","1.1747338105651199","8.38673e-002",
"16352","2","11","1","159","Default","83539","Default","111519","AM nuclear 0.12 output","6483.","554742.","61653.","1200788.","71223901.","5503140.","125.109","9.89809e-002","129.048","4115798.","545440901.","4738676.","1.1808810919526398","0.131446",
"16353","2","12","1","159","Default","83540","Default","111520","AM nuclear 0.12 output","11555.","613679.","104992.","2148121.","79033896.","9170909.","123.733","0.14378","129.843","4016296.","526925363.","4746522.","1.1828363201740799","0.153844",
"16354","3","1","1","159","Default","83541","Default","111521","AM nuclear 0.12 output","8814.","60217.","41171.","1678151.","8055336.","3060218.","116.093","0.373596","141.002","3392962.","480461376.","3503164.","0.87299071082495994","3.14578e-002",
"16355","3","2","1","159","Default","83542","Default","111522","AM nuclear 0.12 output","19323.","121395.","52975.","3673491.","16544337.","3987028.","124.965","0.2735","143.676","4246739.","611054059.","4440432.","1.1065584962764798","4.36203e-002",
"16356","3","3","1","159","Default","83543","Default","111523","AM nuclear 0.12 output","5586.","58359.","52772.","1053306.","7823284.","3196566.","103.44","0.452136","138.816","2612036.","347728061.","2728753.","0.68000699400191988","4.2773e-002",
"16357","3","4","1","159","Default","83544","Default","111524","AM nuclear 0.12 output","11169.","90159.","41124.","2113430.","12351387.","2818504.","121.327","0.288687","142.752","4203322.","569701904.","4345774.","1.0829696620953599","3.27794e-002",
"16358","3","5","1","159","Default","83545","Default","111525","AM nuclear 0.12 output","17064.","69683.","15176.","3264954.","9707033.","1261203.","139.646","0.148897","149.538","4357658.","642946114.","4459581.","1.1113304393318399","2.28548e-002",
"16359","3","6","1","159","Default","83546","Default","111526","AM nuclear 0.12 output","21656.","122420.","21850.","4122423.","16943238.","1861126.","138.175","0.131685","146.212","4433735.","651571699.","4599661.","1.1462384649830399","3.60735e-002",
"16360","3","7","1","159","Default","83547","Default","111527","AM nuclear 0.12 output","11717.","100831.","137637.","2208886.","13658145.","7977590.","95.308","0.550141","140.98","4509580.","613258579.","4759765.","1.1861364842495998","5.25625e-002",
"16361","3","8","1","159","Default","83548","Default","111528","AM nuclear 0.12 output","9665.","84046.","115727.","1824726.","11274817.","6951878.","95.7392","0.55256","139.787","5233335.","720562942.","5442773.","1.3563425149747199","3.848e-002",
"16362","3","9","1","159","Default","83549","Default","111529","AM nuclear 0.12 output","29712.","196040.","64185.","5655704.","26673118.","4799573.","128.057","0.221376","143.205","3978536.","582436531.","4268473.","1.0637062034227198","6.79252e-002",
"16363","3","10","1","159","Default","83550","Default","111530","AM nuclear 0.12 output","24069.","160738.","61826.","4584222.","21714744.","4632733.","125.416","0.25068","142.305","3512392.","515274294.","3759025.","0.93675143577599995","6.56109e-002",
"16364","3","11","1","159","Default","83551","Default","111531","AM nuclear 0.12 output","17942.","137857.","71274.","3396792.","18847353.","4868829.","119.402","0.313881","142.775","4135622.","578490984.","4362695.","1.0871863861247999","5.20488e-002",
"16365","3","12","1","159","Default","83552","Default","111532","AM nuclear 0.12 output","17457.","128846.","70692.","3313248.","17537231.","4921306.","118.767","0.325777","142.516","3803929.","531086407.","4020924.","1.0020168341913598","5.39665e-002",
"16366","4","1","1","159","Default","83553","Default","111533","AM nuclear 0.12 output","8619.","55359.","32060.","1641777.","7402503.","2386997.","119.029","0.333826","141.365","4779577.","690149549.","4875615.","1.2150063783935998","1.96976e-002",
"16367","4","2","1","159","Default","83554","Default","111534","AM nuclear 0.12 output","14394.","103224.","33795.","2742572.","13873159.","2650975.","127.246","0.223197","141.269","4331236.","660207106.","4482649.","1.1170789996953598","3.37776e-002",
"16368","4","3","1","159","Default","83555","Default","111535","AM nuclear 0.12 output","7.","78.","55.","1321.","10462.","4471.","116.1","0.392857","138.624","14157.","2538073.","14297.","3.5628215500799996e-003","9.79226e-003",
"16369","4","4","1","159","Default","83556","Default","111536","AM nuclear 0.12 output","9.","9.","5.","1725.","1316.","398.","149.522","0.217391","168.944","2477.","427323.","2500.","6.2300159999999997e-004","9.2e-003",
"16370","4","5","1","159","Default","83557","Default","111537","AM nuclear 0.12 output","4.","6.","30.","739.","821.","1407.","74.175","0.75","156.","742.","102657.","782.","1.9487490047999999e-004","5.11509e-002",
"16371","4","6","1","159","Default","83558","Default","111538","AM nuclear 0.12 output","0.","2.","0.","0.","304.","0.","152.","0.","152.","619.","115366.","621.","1.5475359743999999e-004","3.22061e-003",
"16372","4","7","1","159","Default","83559","Default","111539","AM nuclear 0.12 output","0.","1.","0.","0.","170.","0.","170.","0.","170.","343.","70346.","344.","8.5725020159999995e-005","2.90698e-003",
"16373","4","8","1","159","Default","83560","Default","111540","AM nuclear 0.12 output","9.","7.","1.","1754.","1037.","96.","169.824","5.88235e-002","174.438","1071.","156135.","1088.","2.7113029631999996e-004","1.5625e-002",
