"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32924 FOXP3)","Data Group (Slide 32924 FOXP3)","Annotation Id (Slide 32924 FOXP3)","Annotation Name (Slide 32924 FOXP3)","  Nwp = Number of Weak Positive (Slide 32924 FOXP3)","  Np  = Number of Positive (Slide 32924 FOXP3)","  Nsp = Number of Strong Positive (Slide 32924 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32924 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32924 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32924 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32924 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32924 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32924 FOXP3)","  Nn = Number of Negative (Slide 32924 FOXP3)","  In = Total Intensity of Negative (Slide 32924 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32924 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32924 FOXP3)","  Positivity = NPositive/NTotal (Slide 32924 FOXP3)",
"15418","1","1","1","154","Default","83565","Default","111545","AM nuclear 0.12 output","581.","9828.","2424.","109387.","1316869.","181093.","125.251","0.188888","137.021","4827546.","865531128.","4840379.","1.2062255446425598","2.65124e-003",
"15419","1","2","1","154","Default","83566","Default","111546","AM nuclear 0.12 output","620.","11478.","10260.","114850.","1535907.","687924.","104.602","0.458896","136.449","4727343.","723756777.","4749701.","1.1836285290086399","4.70724e-003",
"15420","1","3","1","154","Default","83567","Default","111547","AM nuclear 0.12 output","435.","2553.","923.","81606.","364332.","72189.","132.479","0.236001","149.243","3981571.","754298692.","3985482.","0.99318466510847991","9.81312e-004",
"15421","1","4","1","154","Default","83568","Default","111548","AM nuclear 0.12 output","926.","6139.","588.","174257.","871558.","47298.","142.835","7.68326e-002","148.028","4279126.","829977870.","4286779.","1.0682680703385599","1.78526e-003",
"15422","1","5","1","154","Default","83569","Default","111549","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","131.","26399.","131.","3.2645283839999996e-005","0.",
"15423","1","6","1","154","Default","83570","Default","111550","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","262.","50518.","262.","6.5290567679999992e-005","0.",
"15424","1","7","1","154","Default","83571","Default","111551","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","4274.","726380.","4274.","1.0650835353599999e-003","0.",
"15425","1","8","1","154","Default","83572","Default","111552","AM nuclear 0.12 output","1.","0.","0.","182.","0.","0.","182.","0.","182.","248.","47707.","249.","6.2050959359999987e-005","4.01606e-003",
"15426","1","9","1","154","Default","83573","Default","111553","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","3124.","674760.","3124.","7.7850279935999989e-004","0.",
"15427","1","10","1","154","Default","83574","Default","111554","AM nuclear 0.12 output","0.","1.","0.","0.","152.","0.","152.","0.","152.","40602.","8142799.","40603.","1.0118293585919999e-002","2.46287e-005",
"15428","1","11","1","154","Default","83575","Default","111555","AM nuclear 0.12 output","0.","2.","0.","0.","230.","0.","115.","0.","115.","78.","15411.","80.","1.9936051199999996e-005","2.5e-002",
"15429","1","12","1","154","Default","83576","Default","111556","AM nuclear 0.12 output","6.","3.","0.","1183.","517.","0.","188.889","0.","188.889","2184.","378170.","2193.","5.4649700351999989e-004","4.10397e-003",
"15430","2","1","1","154","Default","83577","Default","111557","AM nuclear 0.12 output","187.","8544.","90589.","35006.","1037405.","4964712.","60.7846","0.912092","122.828","5904856.","864481604.","6004176.","1.4962445018726398","1.65418e-002",
"15431","2","2","1","154","Default","83578","Default","111558","AM nuclear 0.12 output","222.","12138.","76292.","41710.","1478071.","4600924.","69.0419","0.860578","122.96","5778832.","887752528.","5867484.","1.4621807679897598","1.5109e-002",
"15432","2","3","1","154","Default","83579","Default","111559","AM nuclear 0.12 output","34.","2085.","19439.","6358.","246770.","1196914.","67.2624","0.901707","119.456","6233817.","918192253.","6255375.","1.5588434534399997","3.44632e-003",
"15433","2","4","1","154","Default","83580","Default","111560","AM nuclear 0.12 output","207.","3138.","16596.","39446.","384241.","1046941.","73.749","0.832255","126.663","5150351.","784020340.","5170292.","1.2884400753868799","3.85684e-003",
"15434","2","5","1","154","Default","83581","Default","111561","AM nuclear 0.12 output","248.","3264.","28256.","46945.","411514.","1462199.","60.4589","0.889449","130.541","1939943.","247266676.","1971711.","0.49135164309503992","1.61119e-002",
"15435","2","6","1","154","Default","83582","Default","111562","AM nuclear 0.12 output","179.","6003.","271506.","33755.","751037.","7590223.","30.1598","0.977738","126.948","1928624.","233894276.","2206312.","0.54981436243967996","0.125861",
"15436","2","7","1","154","Default","83583","Default","111563","AM nuclear 0.12 output","284.","14667.","86301.","52931.","1811643.","4867902.","66.4923","0.852339","124.712","5791971.","716227787.","5893223.","1.4685949432627199","1.71811e-002",
"15437","2","8","1","154","Default","83584","Default","111564","AM nuclear 0.12 output","288.","16604.","74608.","53549.","2065597.","4353105.","70.735","0.815388","125.453","5714206.","707082077.","5805706.","1.4467856508518397","1.57604e-002",
"15438","2","9","1","154","Default","83585","Default","111565","AM nuclear 0.12 output","972.","15605.","97712.","184370.","1944897.","5628600.","67.8794","0.854955","128.447","5894599.","825593186.","6008888.","1.4974187352883199","1.902e-002",
"15439","2","10","1","154","Default","83586","Default","111566","AM nuclear 0.12 output","618.","12911.","87495.","116222.","1594408.","4868462.","65.124","0.866081","126.442","6015759.","851266678.","6116783.","1.5243062383411199","1.65159e-002",
"15440","2","11","1","154","Default","83587","Default","111567","AM nuclear 0.12 output","41.","143.","616.","7948.","19006.","37376.","80.4125","0.77","146.489","5508172.","710482253.","5508972.","1.3728393481420798","1.45218e-004",
"15441","2","12","1","154","Default","83588","Default","111568","AM nuclear 0.12 output","76.","770.","6918.","14562.","97144.","369597.","61.9916","0.891036","132.04","3439491.","424461997.","3447255.","0.85905815224319992","2.25223e-003",
"15442","3","1","1","154","Default","83589","Default","111569","AM nuclear 0.12 output","2227.","17008.","10237.","419151.","2286521.","778666.","118.225","0.347347","140.664","5172763.","688106960.","5202235.","1.2964002914303998","5.66526e-003",
"15443","3","2","1","154","Default","83590","Default","111570","AM nuclear 0.12 output","1445.","18647.","24336.","269960.","2477654.","1666778.","99.3606","0.547763","136.752","5166640.","679450316.","5211068.","1.2986014806835198","8.5257e-003",
"15444","3","3","1","154","Default","83591","Default","111571","AM nuclear 0.12 output","4408.","19037.","34169.","837998.","2629863.","1742313.","90.4324","0.593068","147.915","4243212.","679954741.","4300826.","1.0717685917286399","1.3396e-002",
"15445","3","4","1","154","Default","83592","Default","111572","AM nuclear 0.12 output","4542.","28676.","53798.","859526.","3911045.","2733341.","86.236","0.618254","143.614","4631781.","676609392.","4718797.","1.1759272324300798","1.84403e-002",
"15446","3","5","1","154","Default","83593","Default","111573","AM nuclear 0.12 output","425.","9668.","66954.","80137.","1194268.","3879995.","66.8994","0.869002","126.266","5721354.","805656790.","5798401.","1.4449652401766397","1.32876e-002",
"15447","3","6","1","154","Default","83594","Default","111574","AM nuclear 0.12 output","505.","8494.","33287.","94236.","1068281.","2066324.","76.3572","0.787187","129.183","4962372.","740477183.","5004658.","1.2471639765811198","8.44933e-003",
"15448","3","7","1","154","Default","83595","Default","111575","AM nuclear 0.12 output","4231.","26927.","50917.","800773.","3600664.","3297011.","93.7977","0.620372","141.262","4444252.","682539441.","4526327.","1.12796358524928","1.81328e-002",
"15449","3","8","1","154","Default","83596","Default","111576","AM nuclear 0.12 output","5460.","27633.","39176.","1035874.","3757951.","2504611.","100.99","0.542086","144.859","4670138.","730939978.","4742407.","1.1818108595404799","1.52389e-002",
"15450","3","9","1","154","Default","83597","Default","111577","AM nuclear 0.12 output","3107.","14804.","47030.","591080.","2006020.","2429377.","77.4007","0.724196","145.","2961639.","440335074.","3026580.","0.75422567301119992","2.14569e-002",
