"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32925 FOXP3)","Data Group (Slide 32925 FOXP3)","Annotation Id (Slide 32925 FOXP3)","Annotation Name (Slide 32925 FOXP3)","  Nwp = Number of Weak Positive (Slide 32925 FOXP3)","  Np  = Number of Positive (Slide 32925 FOXP3)","  Nsp = Number of Strong Positive (Slide 32925 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32925 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32925 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32925 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32925 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32925 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32925 FOXP3)","  Nn = Number of Negative (Slide 32925 FOXP3)","  In = Total Intensity of Negative (Slide 32925 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32925 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32925 FOXP3)","  Positivity = NPositive/NTotal (Slide 32925 FOXP3)",
"15514","1","1","1","155","Default","83673","Default","111653","AM nuclear 0.12 output","5095.","19409.","10446.","976495.","2671804.","761606.","126.178","0.298884","148.886","4433537.","661671505.","4468487.","1.1135498202316798","7.82144e-003",
"15515","1","2","1","155","Default","83674","Default","111654","AM nuclear 0.12 output","3672.","20788.","16664.","702936.","2704764.","1279404.","113.975","0.405214","139.317","4070983.","610927525.","4112107.","1.0247396961484798","1.00007e-002",
"15516","1","3","1","155","Default","83675","Default","111655","AM nuclear 0.12 output","3659.","11857.","1176.","699029.","1714397.","94558.","150.251","7.04529e-002","155.544","4325229.","778011302.","4341921.","1.0820094920294399","3.84438e-003",
"15517","1","4","1","155","Default","83676","Default","111656","AM nuclear 0.12 output","7799.","29810.","1415.","1483453.","4323505.","122337.","151.94","3.62597e-002","154.403","4276396.","742329396.","4315420.","1.0754054258687999","9.04292e-003",
"15518","1","5","1","155","Default","83677","Default","111657","AM nuclear 0.12 output","0.","3.","1.","0.","372.","99.","117.75","0.25","124.","11557.","2316196.","11561.","2.8810085990399999e-003","3.45991e-004",
"15519","1","6","1","155","Default","83678","Default","111658","AM nuclear 0.12 output","2.","13.","5.","400.","1813.","463.","133.8","0.25","147.533","9285.","1843361.","9305.","2.3188119551999999e-003","2.14938e-003",
"15520","1","7","1","155","Default","83679","Default","111659","AM nuclear 0.12 output","0.","2.","0.","0.","293.","0.","146.5","0.","146.5","12020.","2392468.","12022.","2.9958900940799996e-003","1.66362e-004",
"15521","1","8","1","155","Default","83680","Default","111660","AM nuclear 0.12 output","7.","8.","2.","1320.","1182.","166.","156.941","0.117647","166.8","11285.","2140841.","11302.","2.8164656332799998e-003","1.50416e-003",
"15522","1","9","1","155","Default","83681","Default","111661","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","864.","175537.","864.","2.1530935295999997e-004","0.",
"15523","1","10","1","155","Default","83682","Default","111662","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","351.","71088.","351.","8.7469424639999988e-005","0.",
