"Core ID","Row","Col","Sector","TMA ID","Data Group","Spot ID (Slide 32926 FOXP3)","Data Group (Slide 32926 FOXP3)","Annotation Id (Slide 32926 FOXP3)","Annotation Name (Slide 32926 FOXP3)","  Nwp = Number of Weak Positive (Slide 32926 FOXP3)","  Np  = Number of Positive (Slide 32926 FOXP3)","  Nsp = Number of Strong Positive (Slide 32926 FOXP3)","  Iwp = Total Intensity of Weak Positive (Slide 32926 FOXP3)","  Ip  = Total Intensity of Positive (Slide 32926 FOXP3)","  Isp = Total Intensity of Strong Positive (Slide 32926 FOXP3)","  Iavg = (Iwp+Ip+Isp)/(Nwp+Np+Nsp) (Slide 32926 FOXP3)","  Nsr  =  Nsp/(Nwp+Np+Nsp) (Slide 32926 FOXP3)","  Iwavg= (Iwp+Ip)/(Nwp+Np) (Slide 32926 FOXP3)","  Nn = Number of Negative (Slide 32926 FOXP3)","  In = Total Intensity of Negative (Slide 32926 FOXP3)","  NTotal = Total Number (Positive+Negative) (Slide 32926 FOXP3)","  ATotal = Total Area  (millimeter-squared) (Slide 32926 FOXP3)","  Positivity = NPositive/NTotal (Slide 32926 FOXP3)",
"15610","1","1","1","156","Default","83781","Default","111761","AM nuclear 0.12 output","6235.","32779.","32949.","1191045.","4450700.","2041668.","106.769","0.45786","144.608","4399075.","641396558.","4471038.","1.1141855310643198","1.60954e-002",
"15611","1","2","1","156","Default","83782","Default","111762","AM nuclear 0.12 output","7397.","63483.","54966.","1403044.","8446444.","3947321.","109.632","0.436772","138.96","4626488.","633084727.","4752334.","1.1842846742937598","2.64809e-002",
"15612","1","3","1","156","Default","83783","Default","111763","AM nuclear 0.12 output","2402.","7925.","739.","460796.","1130842.","61946.","149.429","6.67811e-002","154.124","3243630.","630735641.","3254696.","0.8110723262054399","3.40001e-003",
"15613","1","4","1","156","Default","83784","Default","111764","AM nuclear 0.12 output","2432.","11538.","6656.","466611.","1593529.","449380.","121.668","0.3227","147.469","1921621.","351587645.","1942247.","0.48400919543807996","1.06197e-002",
"15614","1","5","1","156","Default","83785","Default","111765","AM nuclear 0.12 output","12.","22.","3.","2403.","3100.","233.","155.027","8.10811e-002","161.853","1054.","203524.","1091.","2.7187789823999997e-004","3.39138e-002",
"15615","1","6","1","156","Default","83786","Default","111766","AM nuclear 0.12 output","13.","34.","295.","2480.","4839.","11112.","53.8918","0.862573","155.723","836.","109489.","1178.","2.9355835391999999e-004","0.290323",
"15616","1","7","1","156","Default","83787","Default","111767","AM nuclear 0.12 output","4.","9.","8.","765.","1189.","657.","124.333","0.380952","150.308","657.","126256.","678.","1.6895803391999998e-004","3.09735e-002",
"15617","1","8","1","156","Default","83788","Default","111768","AM nuclear 0.12 output","2.","0.","0.","407.","0.","0.","203.5","0.","203.5","2544.","524920.","2546.","6.3446482943999992e-004","7.85546e-004",
"15618","1","9","1","156","Default","83789","Default","111769","AM nuclear 0.12 output","0.","0.","0.","0.","0.","0.","-1.#IND","-1.#IND","-1.#IND","291.","58538.","291.","7.2517386239999995e-005","0.",
"15619","1","10","1","156","Default","83790","Default","111770","AM nuclear 0.12 output","6.","8.","4.","1169.","1088.","303.","142.222","0.222222","161.214","226.","46127.","244.","6.0804956159999995e-005","7.37705e-002",
